id workload_type submission_time scheduled_by num_tasks cpus_per_task mem_per_task estimated_task_duration queue_time_till_first_scheduled queue_time_till_fully_scheduled makespan data_center_utilization_at_submission on_machines off_machines shutting_down_machines turning_on_machines
3550 Batch 4413.18 MesosBatch-3 87 0.30 0.50 171.52 31.5968 31.5968 189.92 0.2773 1000 0 0 0
3551 Batch 4427.28 MesosBatch-4 28 0.30 0.50 4.76 49.3186 49.3186 11.36 0.2773 1000 0 0 0
3552 Batch 4428.52 MesosBatch 12 0.30 0.50 205.42 54.6851 54.6851 208.82 0.2773 1000 0 0 0
3553 Batch 4436.54 MesosBatch-2 62 0.30 0.50 131.79 26.6462 26.6462 145.19 0.2878 1000 0 0 0
3554 Batch 5128.07 MesosBatch-3 676 0.30 0.50 380.96 0.0110 0.0110 517.16 0.2665 1000 0 0 0
3555 Batch 6497.00 MesosBatch-4 22 0.30 0.50 115.98 0.0110 0.0110 121.38 0.2700 1000 0 0 0
3556 Batch 6896.10 MesosBatch 387 0.30 0.50 157.13 0.0110 0.0110 235.53 0.2705 1000 0 0 0
3557 Batch 7374.06 MesosBatch-2 50 0.30 0.50 127.74 0.0110 0.0110 138.74 0.2753 1000 0 0 0
3558 Batch 7656.18 MesosBatch-3 153 0.30 0.50 37.03 0.0110 0.0110 68.63 0.2760 1000 0 0 0
3559 Batch 7698.78 MesosBatch-4 304 0.30 0.50 8.17 0.0110 0.0110 69.97 0.2875 1000 0 0 0
3560 Batch 7785.58 MesosBatch 20 0.30 0.50 144.65 0.0110 0.0110 149.65 0.2758 1000 0 0 0
3561 Batch 7786.15 MesosBatch-2 31 0.30 0.50 100.02 4.4573 4.4573 107.22 0.2758 1000 0 0 0
3562 Batch 7786.36 MesosBatch-3 47 0.30 0.50 441.96 11.4542 11.4542 452.36 0.2758 1000 0 0 0
3563 Batch 7917.04 MesosBatch-4 305 0.30 0.50 79.54 0.0110 0.0110 141.54 0.2797 1000 0 0 0
3564 Batch 8032.04 MesosBatch 17 0.30 0.50 136.61 0.0110 0.0110 141.01 0.3010 1000 0 0 0
3565 Batch 8032.89 MesosBatch-2 504 0.30 0.50 111.18 3.5792 3.5792 212.98 0.3010 1000 0 0 0
3566 Batch 8041.21 MesosBatch-3 220 0.30 0.50 63.97 124.8769 124.8769 108.97 0.3023 1000 0 0 0
3567 Batch 8060.78 MesosBatch-4 134 0.30 0.50 10.06 77.4922 77.4922 37.86 0.2794 1000 0 0 0
3568 Batch 11543.94 MesosBatch 571 0.30 0.50 20.67 0.0110 0.0110 135.87 0.2620 1000 0 0 0
3569 Batch 11547.71 MesosBatch-2 34 0.30 0.50 247.74 111.4569 111.4569 255.54 0.2620 1000 0 0 0
3570 Batch 13026.43 MesosBatch-3 76 0.30 0.50 270.70 0.0110 0.0110 286.90 0.2581 1000 0 0 0
3571 Batch 13333.30 MesosBatch-4 145 0.30 0.50 5.53 0.0110 0.0110 35.53 0.2581 1000 0 0 0
3572 Batch 13423.67 MesosBatch 11 0.30 0.50 301.88 0.0110 0.0110 305.08 0.2581 1000 0 0 0
